,patch_number,VegetationIndex,Patch_Area,VI_Area,Pure_GaborArea,AreaSum,Unknown_Area,class,Normalized_VI_Area,Normalized_Pure_GaborArea,Normalized_Unknown_Area
0,256_512_2560_2816,MSAVI,65536,34823,9095.0,43918.0,21618.0,best,0.5313568115234375,0.1387786865234375,0.329864501953125
1,256_512_2816_3072,MSAVI,65536,34535,8199.0,42734.0,22802.0,best,0.5269622802734375,0.1251068115234375,0.347930908203125
2,256_512_3072_3328,MSAVI,65536,36855,11303.0,48158.0,17378.0,best,0.5623626708984375,0.1724700927734375,0.265167236328125
3,256_512_3328_3584,MSAVI,65536,34640,6570.0,41210.0,24326.0,best,0.528564453125,0.100250244140625,0.371185302734375
4,512_768_2304_2560,MSAVI,65536,35290,7738.0,43028.0,22508.0,best,0.538482666015625,0.118072509765625,0.34344482421875
5,512_768_2560_2816,MSAVI,65536,36975,10038.0,47013.0,18523.0,best,0.5641937255859375,0.153167724609375,0.2826385498046875
6,512_768_2816_3072,MSAVI,65536,37999,2626.0,40625.0,24911.0,best,0.5798187255859375,0.040069580078125,0.3801116943359375
7,512_768_3072_3328,MSAVI,65536,35586,9894.0,45480.0,20056.0,best,0.542999267578125,0.150970458984375,0.3060302734375
8,512_768_3328_3584,MSAVI,65536,36473,13239.0,49712.0,15824.0,best,0.5565338134765625,0.2020111083984375,0.241455078125
9,512_768_3584_3840,MSAVI,65536,38977,8155.0,47132.0,18404.0,best,0.5947418212890625,0.1244354248046875,0.28082275390625
10,512_768_3840_4096,MSAVI,65536,35631,6696.0,42327.0,23209.0,best,0.5436859130859375,0.1021728515625,0.3541412353515625
11,512_768_4096_4352,MSAVI,65536,37191,3116.0,40307.0,25229.0,best,0.5674896240234375,0.04754638671875,0.3849639892578125
12,512_768_4352_4608,MSAVI,65503,36002,15195.0,51197.0,14306.0,best,0.5496236813581057,0.2319741080561195,0.2184022105857747
13,768_1024_2048_2304,MSAVI,65536,37661,9332.0,46993.0,18543.0,best,0.5746612548828125,0.14239501953125,0.2829437255859375
14,768_1024_2304_2560,MSAVI,65536,35086,12908.0,47994.0,17542.0,best,0.535369873046875,0.19696044921875,0.267669677734375
15,768_1024_2560_2816,MSAVI,65536,37840,12820.0,50660.0,14876.0,best,0.577392578125,0.19561767578125,0.22698974609375
16,768_1024_2816_3072,MSAVI,65536,35115,15075.0,50190.0,15346.0,best,0.5358123779296875,0.2300262451171875,0.234161376953125
17,768_1024_3072_3328,MSAVI,65536,37602,12421.0,50023.0,15513.0,best,0.573760986328125,0.1895294189453125,0.2367095947265625
18,768_1024_3328_3584,MSAVI,65536,38508,10674.0,49182.0,16354.0,best,0.58758544921875,0.162872314453125,0.249542236328125
19,768_1024_3584_3840,MSAVI,65536,37620,8593.0,46213.0,19323.0,best,0.57403564453125,0.1311187744140625,0.2948455810546875
20,768_1024_3840_4096,MSAVI,65536,38114,6256.0,44370.0,21166.0,best,0.581573486328125,0.095458984375,0.322967529296875
21,768_1024_4096_4352,MSAVI,65536,37485,8208.0,45693.0,19843.0,best,0.5719757080078125,0.125244140625,0.3027801513671875
22,768_1024_4352_4608,MSAVI,65536,37325,16129.0,53454.0,12082.0,best,0.5695343017578125,0.2461090087890625,0.184356689453125
23,768_1024_4608_4864,MSAVI,65536,37197,7688.0,44885.0,20651.0,best,0.5675811767578125,0.1173095703125,0.3151092529296875
24,768_1024_4864_5120,MSAVI,65536,34053,6184.0,40237.0,25299.0,best,0.5196075439453125,0.0943603515625,0.3860321044921875
25,768_1024_5120_5376,MSAVI,65536,33853,5679.0,39532.0,26004.0,best,0.5165557861328125,0.0866546630859375,0.39678955078125
26,1024_1280_2048_2304,MSAVI,65536,39135,15659.0,54794.0,10742.0,best,0.5971527099609375,0.2389373779296875,0.163909912109375
27,1024_1280_2304_2560,MSAVI,65536,35853,11710.0,47563.0,17973.0,best,0.5470733642578125,0.178680419921875,0.2742462158203125
28,1024_1280_2560_2816,MSAVI,65536,36645,12989.0,49634.0,15902.0,best,0.5591583251953125,0.1981964111328125,0.242645263671875
29,1024_1280_2816_3072,MSAVI,65536,36119,9240.0,45359.0,20177.0,best,0.5511322021484375,0.1409912109375,0.3078765869140625
30,1024_1280_3072_3328,MSAVI,65536,38527,7388.0,45915.0,19621.0,best,0.5878753662109375,0.11273193359375,0.2993927001953125
31,1024_1280_3328_3584,MSAVI,65536,37819,17246.0,55065.0,10471.0,best,0.5770721435546875,0.263153076171875,0.1597747802734375
32,1024_1280_3584_3840,MSAVI,65536,37219,5596.0,42815.0,22721.0,best,0.5679168701171875,0.08538818359375,0.3466949462890625
33,1024_1280_3840_4096,MSAVI,65536,35375,9683.0,45058.0,20478.0,best,0.5397796630859375,0.1477508544921875,0.312469482421875
34,1024_1280_4096_4352,MSAVI,65536,37465,7808.0,45273.0,20263.0,best,0.5716705322265625,0.119140625,0.3091888427734375
35,1024_1280_4352_4608,MSAVI,65536,39243,11260.0,50503.0,15033.0,best,0.5988006591796875,0.17181396484375,0.2293853759765625
36,1024_1280_4608_4864,MSAVI,65536,36552,8828.0,45380.0,20156.0,best,0.5577392578125,0.13470458984375,0.30755615234375
37,1024_1280_4864_5120,MSAVI,65536,38035,8594.0,46629.0,18907.0,best,0.5803680419921875,0.131134033203125,0.2884979248046875
38,1024_1280_5120_5376,MSAVI,65536,37081,8627.0,45708.0,19828.0,best,0.5658111572265625,0.1316375732421875,0.30255126953125
39,1024_1280_5376_5632,MSAVI,65536,37430,8865.0,46295.0,19241.0,best,0.571136474609375,0.1352691650390625,0.2935943603515625
40,1024_1280_5632_5888,MSAVI,65536,37288,6851.0,44139.0,21397.0,best,0.5689697265625,0.1045379638671875,0.3264923095703125
41,1024_1280_5888_6144,MSAVI,65536,36143,7477.0,43620.0,21916.0,best,0.5514984130859375,0.1140899658203125,0.33441162109375
42,1280_1536_2048_2304,MSAVI,65536,37388,5263.0,42651.0,22885.0,best,0.57049560546875,0.0803070068359375,0.3491973876953125
43,1280_1536_2304_2560,MSAVI,65536,41470,10908.0,52378.0,13158.0,best,0.632781982421875,0.16644287109375,0.200775146484375
44,1280_1536_2560_2816,MSAVI,65536,34629,5487.0,40116.0,25420.0,best,0.5283966064453125,0.0837249755859375,0.38787841796875
45,1280_1536_2816_3072,MSAVI,65536,36578,4893.0,41471.0,24065.0,best,0.558135986328125,0.0746612548828125,0.3672027587890625
46,1280_1536_3072_3328,MSAVI,65536,39359,4776.0,44135.0,21401.0,best,0.6005706787109375,0.0728759765625,0.3265533447265625
47,1280_1536_3328_3584,MSAVI,65536,35774,7605.0,43379.0,22157.0,best,0.545867919921875,0.1160430908203125,0.3380889892578125
48,1280_1536_3584_3840,MSAVI,65536,35260,7491.0,42751.0,22785.0,best,0.53802490234375,0.1143035888671875,0.3476715087890625
49,1280_1536_3840_4096,MSAVI,65536,38414,4039.0,42453.0,23083.0,best,0.586151123046875,0.0616302490234375,0.3522186279296875
